keys,en,zh_CN
"Please include this file when reporting an issue!","Please include this file when reporting an issue!",
"Total files extracted: ","Total files extracted: ",
"Encryption error detected, failed to extract one or more files.\nPlease check your encryption key and try again.\n","Encryption error detected, failed to extract one or more files.\nPlease check your encryption key and try again.\n",
"Incorrect encryption key. Please set the correct key and try again.","Incorrect encryption key. Please set the correct key and try again.",
"Failed to open ","Failed to open ",
"Invalid Selection!!","Invalid Selection!!",
"*.exe,*.bin,*.32,*.64,*.x86_64,*.x86,*.arm64,*.universal,*.zip,*.pck,*.apk,*.xapk,*.app;Supported files","*.exe,*.bin,*.32,*.64,*.x86_64,*.x86,*.arm64,*.universal,*.zip,*.pck,*.apk,*.xapk,*.app;Supported files",
"Failed to convert files:\n","Failed to convert files:\n",
"Invalid encryption script!\n","Invalid encryption script!\n",
"Invalid key!\nKey must be a hex string with ","Invalid key!\nKey must be a hex string with ",
"Update available! Click here! ","Update available! Click here! ",
"No PCK files found, cannot patch","No PCK files found, cannot patch",
"Multiple PCK files found, cannot patch","Multiple PCK files found, cannot patch",
"Failed to add files to PCK:\n","Failed to add files to PCK:\n",
"Failed to remove existing PCK:\n","Failed to remove existing PCK:\n",
"Failed to write PCK:\n","Failed to write PCK:\n",
"PCK patching complete","PCK patching complete",
"Failed to load project config file","Failed to load project config file",
